,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
1,孙永春,男,汉族,1957/6/12,山东省,潍坊市,寿光市,硕士,1976/7/1,在职,,,,,,,,,,,,,,,,,
2,雷建国,男,汉族,1955/4/1,河北省,保定市,高碑店市,硕士,1974/8/1,在职,,,,,,,,,,,,,,,,,
3,黄胜,男,汉族,1954/9/11,山东省,威海市,,硕士,1975/5/1,立案查处,,是,贪污腐败,,否,2011/11/24,中纪委,是,受贿罪,人民币1223万,2013/4/8,江苏省,南京市,无期徒刑,否,,
4,吴翠云,女,汉族,1958/9/1,山东省,淄博市,周村区,硕士,1976/5/1,在职,,,,,,,,,,,,,,,,,
5,陈先运,男,汉族,1962/9/1,山东省,菏泽市,成武县,博士,1984/6/1,在职,,,,,,,,,,,,,,,,,
6,郭兆信,男,汉族,1951/9/1,山东省,临沂市,平邑县,硕士,1973/4/1,在职,,,,,,,,,,,,,,,,,
7,宋远方,男,汉族,1957/8/1,河北省,邢台市,隆尧县,博士后,1985/7/1,在职,,,,,,,,,,,,,,,,,
8,张秋波,男,汉族,1953/10/12,山东省,青岛市,莱西市,硕士,1977/1/1,在职,,,,,,,,,,,,,,,,,
9,林峰海,男,汉族,1962/7/1,山东省,烟台市,栖霞市,本科,1985/7/1,在职,,,,,,,,,,,,,,,,,
10,石军,男,汉族,1952/11/1,山东省,东营市,利津县,博士,1973/12/1,退休,,,,,,,,,,,,,,,,,
11,姜杰,男,汉族,1965/10/1,山东省,青岛市,胶州市,博士,1985/4/1,在职,,,,,,,,,,,,,,,,,
12,刘国信,男,汉族,1946/9/1,山东省,威海市,荣成市,本科,1966/8/1,退休,,,,,,,,,,,,,,,,,
13,张建华,男,汉族,1954/7/1,山东省,烟台市,,硕士,1973/7/1,在职,,,,,,,,,,,,,,,,,
14,孙守璞,男,汉族,1946/10/1,山东省,烟台市,牟平区,硕士,1966/7/1,退休,,,,,,,,,,,,,,,,,
15,崔曰臣,男,汉族,1949/11/1,山东省,德州市,平原县,专科,1976/8/1,在职,,,,,,,,,,,,,,,,,
16,王培廷,男,汉族,1953/1/1,山东省,临沂市,费县,专科,1976/3/1,在职,,,,,,,,,,,,,,,,,
17,孙述涛,男,汉族,1965/1/1,山东省,潍坊市,高密市,博士,1985/11/1,在职,,,,,,,,,,,,,,,,,
18,张惠,女,汉族,1967/4/1,山东省,烟台市,,硕士,1988/6/1,在职,,,,,,,,,,,,,,,,,
19,吴官正,男,汉族,1938/8/1,江西省,上饶市,余干县,硕士,1962/3/1,退休,,,,,,,,,,,,,,,,,
20,张高丽,男,汉族,1946/11/1,福建省,泉州市,晋江市,本科,1973/12/1,在职,,,,,,,,,,,,,,,,,
21,李建国(山东省),男,汉族,1946/4/1,山东省,菏泽市,鄄城县,本科,1971/6/1,在职,,,,,,,,,,,,,,,,,
22,姜异康,男,汉族,1953/1/1,山东省,烟台市,招远市,硕士,1970/12/1,在职,,,,,,,,,,,,,,,,,
23,韩寓群,男,汉族,1943/9/1,江苏省,徐州市,睢宁县,本科,1975/12/1,退休,,,,,,,,,,,,,,,,,
24,姜大明,男,汉族,1953/3/1,山东省,威海市,荣成市,硕士,1976/12/1,在职,,,,,,,,,,,,,,,,,
25,邓向阳,男,汉族,1961/6/1,山东省,威海市,荣成市,本科,1985/7/1,在职,,,,,,,,,,,,,,,,,
26,孙德汉,男,汉族,1950/11/1,山东省,烟台市,,硕士,1973/4/1,退休,,,,,,,,,,,,,,,,,
27,王宗廉,男,汉族,1944/7/1,山东省,临沂市,,硕士,1971/7/1,退休,,,,,,,,,,,,,,,,,
28,安世银,男,汉族,1954/1/1,山东省,聊城市,东阿县,专科,1975/2/1,在职,,,,,,,,,,,,,,,,,
29,张光峰,男,汉族,1968/5/1,山东省,德州市,平原县,硕士,1992/6/1,在职,,,,,,,,,,,,,,,,,
30,李明先,男,汉族,1945/1/1,山东省,烟台市,蓬莱县,本科,1982/7/1,退休,,,,,,,,,,,,,,,,,
31,陈光,男,汉族,1956/11/1,山东省,潍坊市,寿光县,本科,1975/12/1,在职,,,,,,,,,,,,,,,,,
32,赵润田,男,汉族,1956/9/1,河南省,濮阳市,台前县,本科,1984/8/1,在职,,,,,,,,,,,,,,,,,
33,杜昌文,男,汉族,1957/10/1,山东省,济宁市,嘉祥县,硕士,1976/1/1,在职,,,,,,,,,,,,,,,,,
