FIPS,county,state,year,total_vote,dem_vote,rep_vote
1001,Autauga,AL,1960,2538,1324,1149
1001,Autauga,AL,1964,3459,0,2969
1001,Autauga,AL,1968,7776,1553,606
1001,Autauga,AL,1972,7140,1593,5367
1001,Autauga,AL,1976,9338,4640,4512
1001,Autauga,AL,1980,11063,4295,6292
1001,Autauga,AL,1984,11917,3366,8350
1001,Autauga,AL,1988,11654,3667,7828
1001,Autauga,AL,1992,15585,4819,8715
1001,Autauga,AL,1996,15422,5015,9509
1001,Autauga,AL,2000,17208,4942,11993
1001,Autauga,AL,2004,20081,4758,15196
1001,Autauga,AL,2008,23641,6093,17403
1001,Autauga,AL,2012,23973,6363,17379
1001,Autauga,AL,2016,24973,5936,18172
1001,Autauga,AL,2020,27770,7503,19838
1003,Baldwin,AL,1960,10636,5647,4812
1003,Baldwin,AL,1964,13400,0,10870
1003,Baldwin,AL,1968,18404,1821,2154
1003,Baldwin,AL,1972,18375,2923,15104
1003,Baldwin,AL,1976,22967,9191,13256
1003,Baldwin,AL,1980,28353,8448,18652
1003,Baldwin,AL,1984,33045,7272,24964
1003,Baldwin,AL,1988,35598,9271,25933
1003,Baldwin,AL,1992,46476,12195,26270
1003,Baldwin,AL,1996,47119,12776,29487
1003,Baldwin,AL,2000,56480,13997,40872
1003,Baldwin,AL,2004,69320,15599,52971
1003,Baldwin,AL,2008,81413,19386,61271
1003,Baldwin,AL,2012,85491,18424,66016
1003,Baldwin,AL,2016,95215,18458,72883
1003,Baldwin,AL,2020,109679,24578,83544
1005,Barbour,AL,1960,3332,2148,1166
1005,Barbour,AL,1964,4831,0,3853
1005,Barbour,AL,1968,7946,1898,386
1005,Barbour,AL,1972,7029,1846,4985
1005,Barbour,AL,1976,8690,4730,3758
1005,Barbour,AL,1980,9001,4458,4171
1005,Barbour,AL,1984,10161,4591,5459
1005,Barbour,AL,1988,8899,3836,4958
1005,Barbour,AL,1992,10431,4836,4475
1005,Barbour,AL,1996,8953,4787,3627
1005,Barbour,AL,2000,10395,5188,5096
1005,Barbour,AL,2004,10777,4832,5899
1005,Barbour,AL,2008,11630,5697,5866
1005,Barbour,AL,2012,11517,5912,5550
1005,Barbour,AL,2016,10469,4871,5454
1005,Barbour,AL,2020,10518,4816,5622
