country_name,country_text_id,polyarchy_1980,polyarchy_1985,polyarchy_1990,polyarchy_1995,polyarchy_2000,polyarchy_2005,polyarchy_2010,polyarchy_2015,gdppc_1980,gdppc_1985,gdppc_1990,gdppc_1995,gdppc_2000,gdppc_2005,gdppc_2010,gdppc_2015
Mexico,MEX,0.302,0.328,0.387,0.487,0.634,0.701,0.652,0.631,9929,9785,9699,9944.95,12613.4,13655.8,14697.3,16096
Suriname,SUR,0.247,0.179,0.728,0.775,0.794,0.788,0.776,0.777,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,SWE,0.906,0.908,0.912,0.91,0.909,0.912,0.915,0.915,23809,25805,28068,28519.44,34202.6,39258.99,42634.75,43746
Switzerland,CHE,0.872,0.87,0.883,0.886,0.887,0.886,0.894,0.901,27405.73,29416.75,34250,36004.23,43251.1,49273.9,57219.5,59307
Ghana,GHA,0.549,0.101,0.106,0.494,0.619,0.713,0.762,0.724,1844,1559,1693,1856.57,2100.29,2411.29,2946.04,3809
South Africa,ZAF,0.166,0.183,0.225,0.665,0.762,0.788,0.781,0.752,6998,6385,6111,6406.43,7582.78,9393.69,11318.6,12246
Japan,JPN,0.834,0.835,0.835,0.836,0.833,0.837,0.847,0.821,21404,24437,29949,31887.28,33210.81,34857.76,35011.4,37031
Burma/Myanmar,MMR,0.137,0.137,0.117,0.09,0.09,0.09,0.11,0.375,1320,1506,1253,1423.65,1843.49,2947.1,3773,5021
Russia,RUS,0.11,0.112,0.239,0.48,0.412,0.324,0.309,0.269,12204,12475,12400,8586.32,10552.88,16243.1,21737.38,23691
Albania,ALB,0.175,0.175,0.19,0.442,0.414,0.522,0.546,0.521,3741,3846,3983,3666.65,4808.48,6858.47,9222.97,10032
Egypt,EGY,0.178,0.213,0.22,0.216,0.216,0.212,0.212,0.199,3298,3939,4022,5001.07,6593.53,8021.88,10719.29,11159
Yemen,YEM,0.091,0.091,0.215,0.308,0.275,0.294,0.302,0.179,3650,3717,3622,3823.32,4212.11,4485.58,4812.35,2844
Colombia,COL,0.418,0.465,0.474,0.566,0.553,0.541,0.616,0.67,6786,6809,7693,8735.88,8496.79,9524.72,11191.69,13218
Poland,POL,0.212,0.192,0.525,0.888,0.876,0.881,0.89,0.88,9149,9022,8150,9408.27,12732.17,15580.94,20608.69,24177
Brazil,BRA,0.266,0.396,0.817,0.863,0.87,0.884,0.881,0.876,8249,7862,7842,8951.69,9834.42,11305.77,14215.61,15826
United States of America,USA,0.846,0.862,0.872,0.875,0.869,0.866,0.906,0.903,29611,33023,36982,39390.63,45886.47,49654.76,49266.92,52591
Portugal,PRT,0.827,0.864,0.871,0.862,0.868,0.887,0.889,0.884,12822,13240,17256,19262.03,23372.04,24377.95,25463.16,24915
El Salvador,SLV,0.104,0.193,0.214,0.486,0.528,0.542,0.62,0.668,3781,3366,3378,4592.28,5403.71,6441.5,7351.11,8109
