country_text_id,year,e_regionpol_6C,v2x_polyarchy,e_migdppc
MEX,1789,2,0.026,1304
MEX,1790,2,0.026,1298
MEX,1791,2,0.026,1331
MEX,1792,2,0.026,1353
MEX,1793,2,0.026,1374
MEX,1794,2,0.026,1385
MEX,1795,2,0.026,1388
MEX,1796,2,0.026,1380
MEX,1797,2,0.026,1356
MEX,1798,2,0.026,1341
MEX,1799,2,0.026,1323
MEX,1800,2,0.026,1305
MEX,1801,2,0.026,1298
MEX,1802,2,0.026,1274
MEX,1803,2,0.026,1264
MEX,1804,2,0.026,1240
MEX,1805,2,0.026,1223
MEX,1806,2,0.026,1202
MEX,1807,2,0.026,1172
MEX,1808,2,0.026,1143
MEX,1809,2,0.026,1111
MEX,1810,2,0.029,1073
MEX,1811,2,0.029,1044
MEX,1812,2,0.036,NA
MEX,1813,2,0.053,NA
MEX,1814,2,0.053,NA
MEX,1815,2,0.053,NA
MEX,1816,2,0.039,NA
MEX,1817,2,0.039,NA
MEX,1818,2,0.039,NA
MEX,1819,2,0.039,NA
MEX,1820,2,0.047,1007
MEX,1821,2,0.092,NA
MEX,1822,2,0.15,NA
MEX,1823,2,0.177,NA
MEX,1824,2,0.181,NA
MEX,1825,2,0.181,NA
MEX,1826,2,0.181,NA
MEX,1827,2,0.181,NA
MEX,1828,2,0.181,NA
MEX,1829,2,0.181,NA
MEX,1830,2,0.15,NA
MEX,1831,2,0.15,NA
MEX,1832,2,0.162,NA
MEX,1833,2,0.181,NA
MEX,1834,2,0.181,NA
MEX,1835,2,0.181,NA
MEX,1836,2,0.181,NA
MEX,1837,2,0.162,NA
MEX,1838,2,0.162,NA
MEX,1839,2,0.162,NA
MEX,1840,2,0.162,NA
MEX,1841,2,0.155,NA
MEX,1842,2,0.186,NA
MEX,1843,2,0.228,NA
MEX,1844,2,0.228,NA
MEX,1845,2,0.228,NA
MEX,1846,2,0.195,NA
MEX,1847,2,0.213,NA
MEX,1848,2,0.228,NA
MEX,1849,2,0.228,NA
MEX,1850,2,0.198,1054
MEX,1851,2,0.198,NA
MEX,1852,2,0.198,NA
MEX,1853,2,0.198,NA
MEX,1854,2,0.236,NA
MEX,1855,2,0.236,NA
MEX,1856,2,0.236,NA
MEX,1857,2,0.255,NA
MEX,1858,2,0.145,NA
MEX,1859,2,0.14,NA
MEX,1860,2,0.14,921
MEX,1861,2,0.14,NA
MEX,1862,2,0.14,NA
MEX,1863,2,0.14,NA
MEX,1864,2,0.14,NA
MEX,1865,2,0.14,NA
MEX,1866,2,0.14,NA
MEX,1867,2,0.176,NA
MEX,1868,2,0.197,NA
MEX,1869,2,0.197,NA
